,CAS,Name,Formula,Mw,Elements,SMILES,InChi
4134,120-62-7,"Benzene, 1,2,-methylenedioxy-4-[(2-octylsulfinyl)propyl]-",C18H28O3S,324.1759159358211,"['C', 'H', 'O', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4139,1206-49-1,"Maleimide, n-(2,6-xylyl)-",C12H11NO2,201.0789785982044,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4191,120-75-2,"Benzothiazole, 2-methyl-",C8H7NS,149.029920404519,"['C', 'H', 'N', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4226,120-82-1,"Benzene, 1,2,4-trichloro-",C6H3Cl3,179.930033143827,"['C', 'H', 'Cl']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4231,120-83-2,"Phenol, 2,4-dichloro-",C6H4Cl2O,161.96392011326768,"['C', 'H', 'Cl', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4245,120-92-3,Cyclopentanone,C5H8O,84.0575148774837,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4255,120-95-6,"2,4-Di-tert-amyl phenol",C16H26O,234.19836545778568,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4287,121-14-2,"Benzene, 1-methyl-2,4-dinitro-",C7H6N2O4,182.0327566805848,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4350,121-32-4,3-Ethoxy-4-hydroxybenzadehyde,C9H10O3,166.0629941811051,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4352,121-33-5,"Benzaldehyde, 4-hydroxy-3-methoxy-",C8H8O3,152.0473441166271,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4399,121-44-8,Triethylamine,C6H15N,101.120449488017,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4402,121-45-9,"Phosphorous acid, trimethyl ester",C3H9O3P,124.0289311472931,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4403,121-46-0,"2,5-Norbornadiene",C7H8,92.062600257912,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4414,121-51-7,M-nitrobenzene sulfonyl chloride,C6H4ClNO4S,220.9549564684588,"['C', 'H', 'Cl', 'N', 'O', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4467,121-69-7,"Benzenamine, N,N-dimethyl-",C8H11N,121.089149359061,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4470,121-72-2,"Benzenamine, N,N,3-trimethyl-",C9H13N,135.104799423539,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4471,121-73-3,"Benzene, 1-chloro-3-nitro-",C6H4ClNO2,156.9930560549014,"['C', 'H', 'Cl', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4481,121-79-9,"Benzoic acid, 3,4,5-trihydroxy-, propyl ester",C10H12O5,212.0684734847265,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4526,121-89-1,3-Nitroacetophenone,C8H7NO3,165.0425930888201,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4548,122-00-9,"Ethanone, 1-(4-methylphenyl)-",C9H10O,134.0731649419617,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4549,122-01-0,4-Chlorobenzoic acid chloride,C7H4Cl2O,173.96392011326768,"['C', 'H', 'Cl', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4553,122-03-2,"Benzaldehyde, 4-(1-methylethyl)-",C10H12O,148.0888150064397,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4595,122-39-4,Diphenylamine,C12H11N,169.089149359061,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4620,122-52-1,"Phosphorous acid, triethyl ester",C6H15O3P,166.0758813407271,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4651,122-62-3,"Decanedioic acid, bis(2-ethylhexyl) ester",C26H50O4,426.3709100902368,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4679,122-78-1,Benzeneacetaldehyde,C8H8O,120.0575148774837,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4682,122-79-2,"Acetic acid, phenyl ester",C8H8O2,136.05242949705539,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4721,122-94-1,P-butoxyphenol,C10H14O2,166.0993796904894,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4726,122-97-4,3-Phenylpropanol,C9H12O,136.0888150064397,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4730,123-00-2,4-Morpholinepropanamine,C7H16N2O,144.1262631442597,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4738,123-04-6,3-Chloromethyl heptane,C8H17Cl,148.101878230433,"['C', 'H', 'Cl']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4748,123-08-0,"Benzaldehyde, 4-hydroxy-",C7H6O2,122.0367794325774,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4750,123-11-5,"Benzaldehyde, 4-methoxy-",C8H8O2,136.05242949705539,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4760,123-19-3,4-Heptanone,C7H14O,114.1044650709177,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4770,123-25-1,Diethyl succinate,C8H14O4,174.0892089296328,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4775,123-28-4,"Propionic acid, 3,3'-thiodi-, didodecyl ester",C30H58O4S,514.4055815225628,"['C', 'H', 'O', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4782,123-30-8,"Phenol, 4-amino-",C6H7NO,109.0527638496767,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4785,123-31-9,Hydroquinone,C6H6O2,110.0367794325774,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4786,123-32-0,"Pyrazine, 2,5-dimethyl-",C6H8N2,108.068748266776,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4796,123-35-3,Beta-myrcene,C10H16,136.125200515824,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4814,123-51-3,"1-Butanol, 3-methyl-",C5H12O,88.0888150064397,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4819,123-54-6,Acetylacetone,C5H8O2,100.0524294970554,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4835,123-63-7,Paraldehyde,C6H12O3,132.0786442455831,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4854,123-77-3,Diazenedicarboxamide,C2H4N4O2,116.0334253858274,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4870,123-86-4,"Acetic acid, butyl ester",C6H12O2,116.0837296260114,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4873,123-91-1,"1,4-Dioxane",C4H8O2,88.0524294970554,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4874,123-92-2,"1-Butanol, 3-methyl-, acetate",C7H14O2,130.0993796904894,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4879,123-95-5,"Octadecanoic acid, butyl ester",C22H44O2,340.3341306576594,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4885,123-99-9,Nonanedioic acid,C9H16O4,188.1048589941108,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4895,124-04-9,Hexanedioic acid,C6H10O4,146.0579088006768,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4897,124-07-2,Octanoic acid,C8H16O2,144.1150297549674,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4917,1241-94-7,"Phosphoric acid, 2-ethylhexyl diphenyl ester",C20H27O4P,362.1646963471668,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4918,124-19-6,Nonanal,C9H18O,142.1357651998737,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4919,124-22-1,1-Dodecanamine,C12H27N,185.214349874885,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4937,124-38-9,Carbon dioxide,CO2,43.989829239143404,"['C', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4944,124-40-3,"Methanamine, N-methyl-",C2H7N,45.057849230105,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4963,124-73-2,"Ethane, 1,2-dibromo-1,1,2,2-tetrafluoro-",C2Br2F4,257.8302878789568,"['C', 'Br', 'F']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4965,124-76-5,DL-Isoborneol,C10H18O,154.1357651998737,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
4967,124-83-4,D-camphoric acid,C10H16O4,200.1048589941108,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5000,125-33-7,Primidone,C12H14N2O2,218.1055276993534,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5021,125436-88-6,"Cinnamylamine, n-methyl-n-2-propynyl-,",C13H15N,185.120449488017,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5175,126-72-7,"Phosphoric acid, tris(2,3-dibromopropyl) ester",C9H15Br6O4P,691.5808216442987,"['C', 'H', 'Br', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5176,126-73-8,Tri-n-butylphosphate,C12H27O4P,266.1646963471668,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5181,126-81-8,Dimedone,C8H12O2,140.0837296260114,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5193,126-98-7,"2-Propenenitrile, 2-methyl-",C4H5N,67.042199165627,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5236,127-17-3,Pyruvic acid,C3H4O3,88.0160439876711,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5237,127-18-4,Tetrachloroethylene,C2Cl4,163.87541072948,"['C', 'Cl']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5238,127-19-5,"Acetamide, N,N-dimethyl-",C4H9NO,87.0684139141547,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5275,127-48-0,"3,5,5-Trimethyloxazolidine-2,4-dione",C6H9NO3,143.0582431532981,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5286,127-63-9,Diphenyl sulfone,C12H10O2S,218.0401507359474,"['C', 'H', 'O', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5313,127-91-3,Beta-pinene,C10H16,136.125200515824,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5329,128-37-0,Butylated hydroxytoluene,C15H24O,220.1827153933077,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5338,128-50-7,"2-Norpinene, 2-ethanol-6,6-dimethyl-",C11H18O,166.1357651998737,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5356,129-00-0,Pyrene,C16H10,202.07825032239,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5386,129-40-8,"Anthraquinone, 1-chloro-5-nitro",C14H6ClNO4,286.99853535852276,"['C', 'H', 'Cl', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5518,130-61-0,Thioridazine hydrochloride,C21H26N2S2.ClH,406.130418910515,"['C', 'H', 'N', 'S', 'Cl', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5562,13086-84-5,Di-tert-butyl hydrogen phosphate,C8H19O3P,194.1071814696831,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5588,131-01-1,Deserpidine,C32H38N2O8,578.2628161905196,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5604,131-11-3,Dimethyl phthalate,C10H10O4,194.0579088006768,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5619,131-16-8,"1,2-Benzenedicarboxylic acid, dipropyl ester",C14H18O4,250.12050905858882,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5625,131-18-0,"1,2-Benzenedicarboxylic acid, dipentyl ester",C18H26O4,306.1831093165008,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5853,132-18-3,"Piperidine, 4-diphenylmethoxy-1-methyl-, hydrochloride",C19H23NO.ClH,317.15464208010974,"['C', 'H', 'N', 'O', 'Cl', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5866,132-29-6,Diphenyl o-xenyl phosphate,C24H19O4P,402.1020960892548,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5896,132-64-9,Dibenzofuran,C12H8O,168.0575148774837,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
5970,13299-27-9,Cellobiose,C12H22O11,342.1162115245467,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6113,13389-42-9,"2-Octene, (E)-",C8H16,112.125200515824,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6146,13410-61-2,"Phosphonous acid, phenyl-, diphenyl ester",C18H15O2P,294.0809667211554,"['C', 'H', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6176,13432-25-2,"3-Hexanol, 2,4-dimethyl-",C8H18O,130.1357651998737,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6268,134-67-8,Flexo plasticizer 8n8,C28H53NO5,483.39237381095745,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6299,134-81-6,"Ethanedione, diphenyl-",C14H10O2,210.0680795615334,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6331,135-01-3,"Benzene, 1,2-diethyl-",C10H14,134.109550451346,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6364,13524-04-4,O-chloro-alpha-methylbenzyl alcohol,C8H9ClO,156.0341925920927,"['C', 'H', 'Cl', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6408,13551-73-0,"1,3-Dimethyl-4-nitro-5-chloropyrazole",C5H6ClN3O2,175.0148541282434,"['C', 'H', 'Cl', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6409,13552-21-1,1-Amino-2-butanol,C4H11NO,89.0840639786327,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6468,135-73-9,"Acetophenone, alpha-bromo-p-phenyl-",C14H11BrO,273.99932758820074,"['C', 'H', 'Br', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6485,135-88-6,2-Naphthyl phenyl amine,C16H13N,219.104799423539,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6516,135-98-8,"Benzene, (1-methylpropyl)-",C10H14,134.109550451346,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6618,13679-70-4,5-Methyl-2-thiophenecarboxaldehyde,C6H6OS,126.0139359874197,"['C', 'H', 'O', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6654,13688-67-0,"Undecadiene, 1,10-",C11H20,152.15650064478,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6695,137-07-5,"Benzenethiol, 2-amino-",C6H7NS,125.02992040451899,"['C', 'H', 'N', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6732,137-18-8,"2,5-Cyclohexadiene-1,4-dione, 2,5-dimethyl-",C8H8O2,136.05242949705539,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6746,137-26-8,Thiram,C6H12N2S4,239.988333093388,"['C', 'H', 'N', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6756,137-32-6,"1-Butanol, 2-methyl-",C5H12O,88.0888150064397,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6770,137-43-9,"Cyclopentane, bromo-",C5H9Br,147.988762904151,"['C', 'H', 'Br']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6889,137-97-3,"Thiourea, 1,3-di-o-tolyl-",C15H16N2S,256.103419699102,"['C', 'H', 'N', 'S']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
6972,13851-11-1,"2-Norbornanol, 1,3,3-trimethyl-, acetate",C12H20O2,196.1463298839234,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
