,CAS,Name,Formula,Mw,Elements,SMILES,InChi
248,100-64-1,"Cyclohexanone, oxime",C6H11NO,113.0840639786327,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
261,100-70-9,2-Pyridinecarbonitrile,C6H4N2,104.03744813782001,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
272,100-74-3,"Morpholine, 4-ethyl-",C6H13NO,115.0997140431107,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
290,100-82-3,M-fluorobenzylamine,C7H8FN,125.06407742508318,"['C', 'H', 'F', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
292,100-84-5,"Benzene, 1-methoxy-3-methyl-",C8H10O,122.0731649419617,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
366,101-14-4,"Aniline), methylene bis-4,4'-(2-chloro-",C13H12Cl2N2,266.037753760472,"['C', 'H', 'Cl', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
378,101-21-3,Chlorpropham,C10H12ClNO2,213.0556563128134,"['C', 'H', 'Cl', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
393,101288-23-7,"Phosphonic acid, (carbamoylmethyl)-, dibenzyl ester",C16H18NO4P,319.0973450614478,"['C', 'H', 'N', 'O', 'P']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
420,10138-89-3,"Butane, 1,1,3-trimethoxy-",C7H16O3,148.1099443745391,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
443,101-48-4,"Benzene, (2,2-dimethoxyethyl)-",C10H14O2,166.0993796904894,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
